Time,Voltage
5.79,26
1579.52,26
2323.7,26
68.85,28
108.29,28
110.29,28
426.07,28
1067.6,28
7.74,30
17.05,30
20.46,30
21.02,30
22.66,30
43.4,30
47.3,30
139.07,30
144.12,30
175.88,30
194.9,30
0.27,32
0.4,32
0.69,32
0.79,32
2.75,32
3.91,32
9.88,32
13.95,32
15.93,32
27.8,32
53.24,32
82.85,32
89.29,32
100.59,32
215.1,32
0.19,34
0.78,34
0.96,34
1.31,34
2.78,34
3.16,34
4.15,34
4.67,34
4.85,34
6.5,34
7.35,34
8.01,34
8.27,34
12.06,34
31.75,34
32.52,34
33.91,34
36.71,34
72.89,34
0.35,36
0.59,36
0.96,36
0.99,36
1.69,36
1.97,36
2.07,36
2.58,36
2.71,36
2.9,36
3.67,36
3.99,36
5.35,36
13.77,36
25.5,36
0.09,38
0.39,38
0.47,38
0.73,38
0.74,38
1.13,38
1.4,38
2.38,38
