DATE,MORTGAGE30US,DGS10
1/1/1990,9.895,8.206666667
2/1/1990,10.1975,8.473157895
3/1/1990,10.268,8.588636364
4/1/1990,10.37,8.7855
5/1/1990,10.4775,8.758181818
6/1/1990,10.164,8.48
7/1/1990,10.035,8.471428571
8/1/1990,10.1,8.752608696
9/1/1990,10.175,8.893157895
10/1/1990,10.1775,8.719545455
11/1/1990,10.014,8.392
12/1/1990,9.6725,8.075
1/1/1991,9.6375,8.091904762
2/1/1991,9.365,7.854736842
3/1/1991,9.5,8.11
4/1/1991,9.4925,8.039090909
5/1/1991,9.472,8.067727273
6/1/1991,9.615,8.284
7/1/1991,9.575,8.272727273
8/1/1991,9.244,7.9
9/1/1991,9.0075,7.65
10/1/1991,8.855,7.527272727
11/1/1991,8.712,7.417368421
12/1/1991,8.4975,7.088571429
1/1/1992,8.432,7.032380952
2/1/1992,8.7625,7.337894737
3/1/1992,8.935,7.542272727
4/1/1992,8.8525,7.48047619
5/1/1992,8.672,7.392
6/1/1992,8.51,7.261818182
7/1/1992,8.128,6.844545455
8/1/1992,7.975,6.585714286
9/1/1992,7.9225,6.415238095
10/1/1992,8.088,6.589047619
11/1/1992,8.305,6.873157895
12/1/1992,8.206,6.77
1/1/1993,7.9925,6.6
2/1/1993,7.6825,6.258947368
3/1/1993,7.495,5.975217391
4/1/1993,7.472,5.96952381
5/1/1993,7.465,6.0355
6/1/1993,7.4175,5.962727273
7/1/1993,7.206,5.805238095
8/1/1993,7.1125,5.677727273
9/1/1993,6.915,5.36
10/1/1993,6.834,5.334
11/1/1993,7.155,5.724
12/1/1993,7.172,5.774090909
1/1/1994,7.06,5.7505
2/1/1994,7.1525,5.973157895
3/1/1994,7.675,6.482608696
4/1/1994,8.316,6.972105263
5/1/1994,8.5975,7.183333333
6/1/1994,8.3975,7.101363636
7/1/1994,8.614,7.298
8/1/1994,8.5125,7.236086957
9/1/1994,8.64,7.457142857
10/1/1994,8.925,7.744
11/1/1994,9.17,7.955
12/1/1994,9.198,7.813809524
1/1/1995,9.1475,7.7795
2/1/1995,8.8275,7.469473684
3/1/1995,8.462,7.204782609
